49.4486	58.3571	69.4432	83.3952	101.174	124.146	154.293	194.56	249.428	325.928	435.464	597.253	845.144	1241.59	1892.61	1241.59	845.144	597.253	435.464	325.928	249.428	194.56	154.293	124.146	101.174	83.3952	69.4432	58.3571	49.4486	
56.5752	66.7676	79.4515	95.4143	115.755	142.038	176.531	222.6	285.376	372.902	498.224	683.331	966.949	1420.54	2165.35	1420.54	966.949	683.331	498.224	372.902	285.376	222.6	176.531	142.038	115.755	95.4143	79.4515	66.7676	56.5752	
64.5074	76.1288	90.591	108.792	131.985	161.953	201.281	253.81	325.387	425.185	568.078	779.138	1102.52	1619.7	2468.92	1619.7	1102.52	779.138	568.078	425.185	325.387	253.81	201.281	161.953	131.985	108.792	90.591	76.1288	64.5074	
73.3211	86.5304	102.969	123.656	150.018	184.08	228.782	288.488	369.845	483.278	645.695	885.592	1253.16	1841.01	2806.21	1841.01	1253.16	885.592	645.695	483.278	369.845	288.488	228.782	184.08	150.018	123.656	102.969	86.5304	73.3211	
83.0983	98.069	116.699	140.146	170.023	208.627	259.29	326.958	419.163	547.722	731.797	1003.68	1420.27	2086.5	3180.36	2086.5	1420.27	1003.68	731.797	547.722	419.163	326.958	259.29	208.627	170.023	140.146	116.699	98.069	83.0983	
93.927	110.849	131.907	158.408	192.179	235.814	293.079	369.564	473.786	619.097	827.159	1134.48	1605.34	2358.4	3594.72	2358.4	1605.34	1134.48	827.159	619.097	473.786	369.564	293.079	235.814	192.179	158.408	131.907	110.849	93.927	
105.902	124.981	148.723	178.604	216.68	265.878	330.444	416.68	534.189	698.027	932.614	1279.11	1810.01	2659.07	4052.91	2659.07	1810.01	1279.11	932.614	698.027	534.189	416.68	330.444	265.878	216.68	178.604	148.723	124.981	105.902	
119.124	140.586	167.293	200.904	243.734	299.075	371.702	468.706	600.886	785.18	1049.06	1438.82	2036	2991.07	4558.76	2991.07	2036	1438.82	1049.06	785.18	600.886	468.706	371.702	299.075	243.734	200.904	167.293	140.586	119.124	
133.704	157.792	187.768	225.493	273.565	335.679	417.195	526.072	674.43	881.28	1177.45	1614.92	2285.19	3357.16	5116.36	3357.16	2285.19	1614.92	1177.45	881.28	674.43	526.072	417.195	335.679	273.565	225.493	187.768	157.792	133.704	
149.759	176.739	210.314	252.569	306.413	375.986	467.29	589.24	755.412	987.1	1318.84	1808.83	2559.59	3760.27	5729.99	3760.27	2559.59	1808.83	1318.84	987.1	755.412	589.24	467.29	375.986	306.413	252.569	210.314	176.739	149.759	
